3	38	8	8	4	106	116	1
16	55	7	4	1	98	122	2
23	49	7	6	13	102	117	3
21	53	10	6	5	99	119	4
28	31	9	8	7	100	126	5
39	18	.	9	13	105	120	6
18	32	8	7	5	105	119	7
19	44	5	4	4	100	117	8
47	22	11	8	13	105	120	9
30	29	10	6	13	97	119	10
27	38	8	6	9	103	120	11
38	29	8	7	9	101	116	12
10	54	.	2	7	104	118	13
3	69	2	1	.	104	115	14
28	32	8	8	13	102	119	15
40	17	9	8	9	105	124	16
36	27	9	8	10	104	118	17
50	29	9	7	15	108	118	18
32	25	10	8	10	98	124	19
28	25	10	8	13	105	111	20
40	31	10	9	9	107	118	21
51	28	8	9	12	100	121	22
36	37	8	6	9	103	121	23
33	29	9	7	7	93	120	24
34	30	9	7	9	94	119	25
10	58	6	5	6	103	122	26
31	31	9	8	6	94	121	27
23	41	9	9	10	102	120	28
17	43	9	6	8	105	118	29
17	45	7	7	3	100	120	30
11	57	3	-1	10	105	119	31
34	21	11	10	6	105	123	32
45	27	9	7	10	104	115	33
23	39	13	10	.	98	118	34
8	51	5	3	2	104	121	35
23	39	12	9	9	104	112	36
15	58	6	4	7	102	124	37
5	49	3	4	2	101	110	38
22	50	8	7	11	106	111	39
27	37	8	7	5	100	119	40
39	32	9	8	13	102	114	41
25	35	10	9	6	96	117	42
55	32	8	7	11	101	120	43
14	60	8	7	4	113	117	44
25	33	9	8	8	101	121	45
10	67	5	4	5	101	117	46
10	59	6	2	7	104	121	47
29	34	8	7	8	97	121	48
31	39	7	6	9	104	116	49
18	51	8	6	9	110	125	50
30	39	11	9	11	102	124	51
25	50	7	.	10	103	117	52
18	67	2	3	8	104	119	53
24	34	10	9	10	101	119	54
26	58	7	3	11	103	115	55
16	57	7	5	1	96	117	56
36	32	10	10	12	99	120	57
8	65	4	1	3	99	124	58
33	29	9	8	8	107	124	59
52	30	11	10	13	106	120	60
40	28	9	8	11	102	113	61
42	32	8	7	11	111	126	62
42	28	9	8	10	99	128	63
34	28	.	7	11	100	123	64
40	18	9	7	8	108	117	65
44	22	10	9	9	104	119	66
3	56	7	4	-1	98	113	67
35	32	8	9	.	107	112	68
40	43	8	8	12	109	116	69
37	32	10	9	13	104	124	70
29	37	8	7	11	105	119	71
30	24	10	8	8	107	125	72
30	39	8	7	6	100	117	73
53	23	11	9	12	106	121	74
34	30	8	10	10	111	117	75
14	58	9	5	4	103	123	76
44	27	9	7	12	108	115	77
43	37	8	8	11	109	123	78
59	27	10	8	12	105	122	79
28	35	8	8	12	100	119	80
21	48	6	7	14	109	114	81
55	22	10	9	10	103	109	82
31	36	10	9	10	106	121	83
36	28	10	8	11	96	117	84
11	44	4	5	3	102	113	85
30	34	10	9	10	106	120	86
20	34	8	7	5	107	118	87
14	65	5	5	11	98	123	88
22	45	7	4	7	117	123	89
35	39	9	7	8	107	115	90
30	25	9	8	5	102	120	91
28	35	8	8	11	104	113	92
22	64	9	9	7	97	129	93
39	40	9	6	9	101	126	94
42	24	10	6	11	101	122	95
40	23	9	7	11	106	113	96
40	36	8	8	9	108	125	97
26	46	9	5	11	98	122	98
26	27	9	8	12	93	114	99
27	33	8	8	8	103	113	100
12	50	6	6	7	105	118	101
28	30	8	7	10	102	126	102
15	48	9	6	8	105	122	103
48	29	9	8	9	104	123	104
42	30	9	9	14	103	110	105
30	27	10	9	14	102	120	106
44	26	10	8	14	100	119	107
13	52	5	5	9	99	112	108
29	35	9	9	8	96	122	109
5	65	2	3	7	99	119	110
32	31	8	8	8	112	122	111
32	38	8	6	.	103	120	112
28	48	8	5	8	99	114	113
38	25	10	8	13	104	124	114
31	32	8	8	9	105	116	115
40	30	9	8	10	108	119	116
32	23	11	9	11	100	117	117
48	25	11	9	15	107	122	118
13	65	4	3	4	104	121	119
39	31	8	7	11	107	122	120
19	42	5	3	8	97	122	121
49	23	10	9	8	106	123	122
32	36	9	8	8	102	116	123
3	66	0	1	3	105	118	124
27	28	8	8	6	100	124	125
16	57	3	5	8	100	121	126
40	26	10	9	9	107	111	127
34	30	9	8	.	107	118	128
25	28	10	9	5	103	120	129
48	15	9	8	10	98	118	130
12	45	6	4	8	109	117	131
35	31	9	9	11	102	120	132
21	60	6	1	7	102	117	133
24	29	9	8	8	102	120	134
30	29	10	8	.	97	118	135
34	33	8	8	9	98	116	136
23	36	9	8	5	102	117	137
34	21	10	10	7	105	124	138
40	22	10	10	12	109	132	139
47	35	8	8	19	106	120	140
42	31	8	8	9	107	114	141
22	38	10	8	9	100	118	142
10	55	6	2	7	112	119	143
27	30	9	9	6	100	116	144
35	24	9	9	12	99	115	145
23	48	8	9	10	102	113	146
28	27	10	10	8	113	113	147
42	29	8	8	16	109	116	148
26	20	8	8	2	98	113	149
26	32	7	6	8	104	118	150
22	42	6	4	9	101	120	151
13	63	1	1	6	101	115	152
25	37	9	7	6	104	121	153
38	31	9	8	12	100	125	154
23	29	10	8	6	98	127	155
35	39	9	9	12	101	125	156
49	33	10	10	13	107	126	157
22	55	8	5	9	103	116	158
43	26	10	7	.	110	117	159
18	35	9	9	6	105	117	160
30	23	9	8	7	108	119	161
37	27	9	8	9	107	119	162
32	28	10	9	11	110	121	163
29	38	9	8	13	102	116	164
12	50	4	4	8	95	122	165
39	25	9	9	13	102	116	166
17	46	8	6	7	102	122	167
48	21	10	9	11	98	120	168
17	54	4	5	8	104	116	169
26	34	8	9	5	101	123	170
43	25	10	9	.	100	125	171
33	35	10	7	7	107	115	172
35	33	8	7	.	102	120	173
12	43	8	6	7	101	120	174
28	42	7	6	13	98	117	175
17	65	6	3	0	97	110	176
42	38	8	6	12	96	121	177
27	34	7	8	13	106	119	178
40	25	8	7	9	104	129	179
