"k","id","naraComp","naraAcc","wordAcc","nonwordAcc","woldComp","f8age","f9age"
"1","ALSPAC0001",27.5135280364421,34.8633555836622,8.44491795962213,7.00398651556856,9.63810200759252,98.3067584966827,122.510758756687
"1","ALSPAC0002",33.1553127693525,27.4088408246185,9.91811602637265,8.00185107232229,8.83461060787222,108.229815193804,118.123299446526
"1","ALSPAC0003",31.278660171628,37.2789876509914,8.70706476386793,8.22823048292923,6.45351204044395,103.869576363595,127.671656436993
"2","ALSPAC0004",11.305715566523,66.4705570920607,1.48160987577776,0.783915024545401,1.28604402755064,105.482239299567,118.642693824726
"1","ALSPAC0005",42.5336832955829,38.1224276760574,8.61424109706175,7.53651419410819,14.697905112587,104.543104943369,118.90595451371
"1","ALSPAC0006",48.0592459046418,26.3448677681951,8.45712159697382,7.2037021177391,12.1062176014897,99.9388167684502,121.874393853368
"3","ALSPAC0007",30.0280521662211,45.7487913145086,11.2540713946346,8.53622548535592,12.6863699952556,109.129670119465,112.458703632939
"1","ALSPAC0008",40.5674110438567,24.2259571739251,8.54790456390036,6.89670594489098,9.49201295696841,105.362905661155,115.878323619968
"2","ALSPAC0009",14.5258448178261,58.5076072651637,6.06596518870149,5.30066310871947,9.11123549190424,101.706622484403,122.077235956
"1","ALSPAC0010",43.6202388135756,28.4885912395245,10.1423237464269,8.3113781677954,10.6915416675442,100.281763303005,120.94915887504
"1","ALSPAC0011",32.852274315444,29.3988136701155,8.76872181725935,8.68878569573761,10.3418886893065,101.13941180268,128.440759355492
"2","ALSPAC0012",10.0618658126894,53.5822883460322,6.11060763685533,7.37553075734765,8.75438459735419,99.3245031866472,111.480895855021
"1","ALSPAC0013",29.5526687474245,33.1072660796008,9.14520297592667,6.73622390108756,8.25403688890681,103.593183120513,120.03838949475
"2","ALSPAC0014",19.0993775860817,65.4665784811501,4.04384998695369,2.50012876195802,10.0895613746896,99.2866372271547,117.416820717725
"2","ALSPAC0015",9.59319904198275,60.2193112456186,5.343005309784,3.09076962640259,5.99851900790468,96.3988542648104,120.332754874794
"1","ALSPAC0016",44.5916854562627,28.3171524823317,9.74945575566772,8.86432026076743,17.1406567346511,110.484006958561,120.948502428215
"1","ALSPAC0017",22.4674216361213,30.1879070879253,9.06717096869818,8.429110224538,3.54607744136065,107.567218863399,125.015924049053
"1","ALSPAC0018",35.5485222383377,29.7996813803733,6.94841503867818,6.4631281405583,4.80100712968467,97.5853420914221,122.745976651545
"1","ALSPAC0019",38.0994981059591,19.0463657986929,8.88888202752339,8.81052660560408,9.19510834445795,101.670039913907,129.604552715292
"1","ALSPAC0020",38.0256911863989,25.0692082983833,9.90662045421579,9.46779627967594,11.4585243140649,96.3211158146955,124.462073471592
"3","ALSPAC0021",24.9341726531892,52.1057657634544,7.86717178253256,6.55827886149668,8.60269275008491,109.954786929592,117.053065827795
"1","ALSPAC0022",50.9148605046097,22.8464991136067,9.34290222293896,8.13787620020182,10.3306764802357,103.219619102764,116.399992991708
"3","ALSPAC0023",29.7561538490457,28.4660895341853,NA,7.02776388372643,7.63460904560552,108.983201086415,118.827214551401
"2","ALSPAC0024",5.26189974526083,57.1212398616816,0.644219038637943,0.785784255707996,1.67588200756541,103.468138629105,117.515375457711
"2","ALSPAC0025",18.819852540775,51.1288068364137,6.35044650608021,6.96802264629925,8.02604256268736,98.0151473271141,117.238124779096
"1","ALSPAC0026",36.6950542504536,23.9638058886136,8.82584110759751,8.02671410237546,13.2066482432389,100.63186691386,117.886698468437
"1","ALSPAC0027",39.9176347516488,28.2459996003978,8.86150275745991,9.08791684525248,8.32340608327572,104.620984154169,129.879510286109
"1","ALSPAC0028",31.4867403466707,41.0825744346278,8.50319583347461,7.45829830329644,7.08742589577761,99.4477373733383,130.794239254616
"1","ALSPAC0029",44.2702766363434,29.4139466206152,8.70942033595103,7.47605733724421,10.0191541795223,108.321930447176,118.113728202053
"1","ALSPAC0030",39.3195988595269,24.713954993279,10.7484938935734,9.25383137284727,11.5032077638998,112.466220126646,122.676365427906
"3","ALSPAC0031",25.6780342166899,39.360176638742,10.5077112082554,8.02869026929553,8.62426265859376,104.475829622316,125.041876062314
"2","ALSPAC0032",18.3232591138811,54.8164092925239,5.72609879615545,5.01451126572857,11.7687695733849,99.5938824399712,118.455868662829
"3","ALSPAC0033",24.2521133703321,48.6162619456555,7.42789273445073,5.3024043209467,9.33445654362604,101.042433848995,110.156043103018
"1","ALSPAC0034",19.7557552548632,36.6367066780976,7.87062295957511,7.22991220663337,8.04991947561619,103.165079174259,126.368877466946
"1","ALSPAC0035",45.9382638114546,26.2693575668996,9.44780099894522,8.24274980515643,6.36287549529811,103.182426634464,124.606864947326
"3","ALSPAC0036",15.9575019929199,43.4004110425907,8.27876186306433,6.20397334167677,7.12832920679993,97.6554805451709,120.130368561856
"3","ALSPAC0037",18.3544946092255,48.8417100915185,7.04683087645189,4.65071392226106,8.63979296659013,102.578061101553,122.878294139818
"1","ALSPAC0038",19.6259649650222,30.91289578113,7.94805176595635,8.01469503723622,8.36072518148841,108.018078425019,114.482686233041
"1","ALSPAC0039",49.8348030086203,28.1771050815991,9.28119082552771,8.15415767026161,12.2964241063139,103.721630515798,123.278576379724
"3","ALSPAC0040",20.7093343197978,63.6307518283931,3.23419574884526,2.13730985436831,6.67266324615331,106.761029708637,118.517942761004
"1","ALSPAC0041",41.9196630014153,19.60960094342,11.7665293363919,9.93742264336279,11.6645699422671,104.939126309084,121.959419476139
"2","ALSPAC0042",1.60004737158003,71.4381128195156,2.2207611514929,0.849863984349411,4.00273201222528,104.087480732865,124.291182877291
"1","ALSPAC0043",54.6284906661317,18.440570980916,10.5506507304417,9.14331590801952,14.0502188383769,95.8084216788991,114.853264661393
"3","ALSPAC0044",20.1282587315221,51.4360500982711,8.12704680088998,4.59213731752493,7.16761635136546,107.627673719417,121.144011567798
"1","ALSPAC0045",36.5297105448928,36.3797612800281,8.60648632560643,8.5268080534324,14.9064748759151,99.083942703664,119.535865012487
"1","ALSPAC0046",46.2099512465734,21.2789649984081,9.23487322841154,7.51582339114413,11.7208328232632,104.959816058386,118.242755194449
"1","ALSPAC0047",34.8332726020522,35.0892637744888,8.54537361141938,7.76427260479583,7.45351107319103,100.280504731184,114.256751684214
"3","ALSPAC0048",23.7855254338363,60.77199334589,7.04566020087428,3.87922365530674,10.0522010710914,97.6239261027877,119.322417359314
"3","ALSPAC0049",16.0340546069307,46.9215649231495,7.71842498452283,6.61728914847396,5.60519845644708,101.465249951155,121.842243458346
"1","ALSPAC0050",36.5474391626293,33.3150248333555,8.90496772949971,7.95156578637449,11.1461163846718,109.394474938977,124.60528044868
"3","ALSPAC0051",26.6601304044535,33.2563662585507,9.20984312600817,8.76286782039647,7.84553926428741,104.458103463265,110.850385944399
"2","ALSPAC0052",11.2655512905854,62.8393744651235,5.18604422547593,5.58205221600536,3.85428956733383,102.4404054057,120.084132081035
"2","ALSPAC0053",4.89539608669392,59.7866178901077,2.88242186191592,1.95830077560327,-1.62056604481566,96.315454728693,121.285907257714
"2","ALSPAC0054",7.59066947910643,66.566690058913,4.51831368319936,3.34774521623234,6.81084556016182,107.285010563991,111.096663308335
"1","ALSPAC0055",31.1927622754071,35.7236045750558,8.83564245293244,7.79858109826702,8.63177768844151,100.331026814457,117.092145228774
"1","ALSPAC0056",52.019879155405,17.8100490190686,10.7846633119432,9.63596363459477,8.8247136866027,104.568539806872,128.849128344073
"3","ALSPAC0057",8.59058168357095,67.5657979032932,0.884188882040832,2.49213933840649,4.55483522566984,109.889892779939,121.892096462369
"1","ALSPAC0058",41.0867584334692,29.6546811505533,10.2667104663771,8.95778761588619,10.5015335025785,99.1826920082055,125.413684478875
"1","ALSPAC0059",41.1040151660233,32.1438303091973,9.14698813268223,7.97133512233047,14.7092771602287,103.611506890206,120.245596087789
"2","ALSPAC0060",2.76581154949666,75.3479421566977,2.80136327462239,0.22227781730728,5.26895596808208,95.5318292791467,113.446390564152
"1","ALSPAC0061",49.4836430361192,22.3086642069685,8.92585236677906,8.95328780999139,10.2386181207433,108.749285193199,119.204394346026
"2","ALSPAC0062",7.613609799208,46.3592041640793,3.09427128543943,3.31875161890053,3.40296674137546,98.2491362311424,115.044280410748
"1","ALSPAC0063",56.8636493492019,24.3771811034673,10.6228785552658,7.80330921061304,15.5364947226524,112.214276972544,114.400262156206
"3","ALSPAC0064",21.816424162954,65.4317170599582,3.37754035840349,3.06043265408358,11.7737641893497,105.057149356805,119.463364608426
"2","ALSPAC0065",13.9470730274782,52.0608852256058,6.3957533681777,3.12896137763925,6.84490742705464,95.6951315525299,117.954123004805
"3","ALSPAC0066",12.2568744845074,64.4301454654969,6.53551246461846,8.04168253000601,11.6224301904701,105.180054345339,113.495696708045
"1","ALSPAC0067",37.5445841017135,32.4568762617908,8.69306719571651,6.48792687219395,10.0699203082629,109.392274166819,127.416131402133
"1","ALSPAC0068",42.7243606832074,32.9327902469845,9.82580978971987,7.3423656016443,9.6781673169747,106.681988039449,127.189687217266
"1","ALSPAC0069",35.0648306427832,27.4730697895158,9.1230400377014,8.19401521131317,11.4063461704936,100.932982351431,121.717531426191
"2","ALSPAC0070",14.0052701959922,61.2931440288492,2.5050624390234,1.3586275342353,3.91580055848017,97.456845683517,114.681539027693
"3","ALSPAC0071",20.2951754919824,26.3655118909285,8.51573467811655,6.00135863588847,8.04317068755226,99.3997959113847,122.43150863516
"3","ALSPAC0072",17.9783608152977,37.545661441006,8.30939993993496,6.88387045634425,3.65109283246906,102.467865745054,118.947369100264
"1","ALSPAC0073",40.5347190343547,31.0211951325557,9.17619497231115,8.15529268579624,9.01374463487418,112.507786668744,127.963633145925
"3","ALSPAC0074",17.7682685603701,56.9374986020171,7.03368588903946,4.84702254496053,6.52871023601348,101.896657619322,127.171883849761
"3","ALSPAC0075",15.0639163465899,40.8708235105822,7.72072235148744,5.40737972274178,9.5988727347039,99.5157050383497,119.987915529775
"1","ALSPAC0076",29.5446061891391,23.0508547335258,10.1490834162239,9.26873189596145,8.87566109066736,100.112509258067,125.833598495398
"3","ALSPAC0077",20.4883142489241,43.2135132799629,9.23200336886728,4.72976675332844,4.24875432071326,105.214984121845,120.108025201796
"1","ALSPAC0078",31.9902471281676,34.2963290715941,8.57981601179903,7.26332694062207,7.74926306158016,102.581649615555,124.212671621288
"1","ALSPAC0079",37.2204679223997,27.4196070180069,9.59855205740118,8.11739781684684,7.77382800154491,101.138562319162,120.776302818627
"1","ALSPAC0080",20.7109053456161,35.572732662526,9.4273691022235,7.51895237691824,8.98202437032847,107.832119286779,127.640927703376
"1","ALSPAC0081",38.0537290125562,32.1742336028098,9.64274792478352,7.46778710132916,9.03162880094843,101.955948722904,116.199034254223
"1","ALSPAC0082",18.6528353055359,37.2989080065693,7.4876674362082,8.02414688020833,7.22354239194025,101.741218499389,121.918233780562
"1","ALSPAC0083",22.0652695086256,34.9654349577623,9.13614187058912,8.51744287164334,8.14415440967175,105.72970316775,114.445937517353
"1","ALSPAC0084",37.2835633180295,23.7070031805997,10.1155299348893,9.2798961370178,11.6931366821219,101.88472055895,125.999423486055
"3","ALSPAC0085",16.457151255466,47.1389914657421,7.13805612580154,4.76495275947262,5.2035707646065,106.958682090819,120.819248607467
"1","ALSPAC0086",37.3604955066715,24.5893799562171,8.95243664955991,7.8647635605357,12.5674314304769,100.019798512384,123.075790022854
"1","ALSPAC0087",40.7833201378327,33.1964337102077,6.84139877083746,5.57759486298819,11.0413791570313,100.084651953992,121.504908982555
"1","ALSPAC0088",35.7377942950987,24.9423489722807,9.92101298893397,7.5321949642607,9.38582816166719,106.201720766911,121.402097104072
"1","ALSPAC0089",32.5164386266821,27.6047139324006,9.58063210459529,8.53491568128832,9.76613486704015,102.735039972829,120.051442054986
"1","ALSPAC0090",22.1258405538822,27.0288833754806,10.2244795769899,10.3861231731129,4.79534776834042,105.492058676162,124.590101432582
