"k","id","naraComp","naraAcc","wordAcc","nonwordAcc","woldComp"
"1","ALSPAC0001",110.447367171402,101.019708922043,107.493872383986,112.657492610563,104.996542287942
"1","ALSPAC0002",92.449392332355,94.3172493168159,96.9824710000604,101.430228585841,NA
"1","ALSPAC0003",107.95666161759,112.041747111634,107.833341478997,111.529945411692,109.153545638101
"1","ALSPAC0004",112.036364436198,111.91201747978,113.480815221663,116.279490793863,105.305602107353
"1","ALSPAC0005",114.69926923887,114.410892857716,106.506480998914,112.412659934056,105.001741602083
"1","ALSPAC0006",105.606250296135,104.59411627457,96.2639572418768,92.1894356123811,105.413674525116
"1","ALSPAC0007",100.754538835661,97.8228958438515,102.591539010784,NA,101.283365293773
"1","ALSPAC0008",114.752796170847,100.832726518591,99.6567356301125,102.700221976154,112.74132878892
"1","ALSPAC0009",100.702017734996,99.8779920656442,95.5833473292893,96.2749199051021,103.942498261609
"2","ALSPAC0010",95.0583295091124,83.0584039048155,85.7089416397044,80.9887785635023,103.590408442592
"2","ALSPAC0011",84.0648374282813,72.5963992251508,74.9552191599382,75.3128880405491,85.1191984943706
"3","ALSPAC0012",94.7354499489792,99.9619373883653,88.3034837584227,91.5260310644194,94.9085649788365
"1","ALSPAC0013",106.009971924364,109.409092699575,111.5893584796,100.640797245561,99.7357182646211
"3","ALSPAC0014",101.078402049693,96.0049466175617,93.4446797410503,100.519211334389,98.8432529616544
"1","ALSPAC0015",104.359520081787,102.804791513238,103.175621567675,105.106058259912,114.612580549799
"3","ALSPAC0016",89.8789693290779,91.6019918470466,74.3310239968708,83.8642618038711,NA
"1","ALSPAC0017",109.842968960327,108.5801997655,107.190869213728,113.020252561312,110.33272378452
"2","ALSPAC0018",85.9147678342752,88.1846489029187,74.3619497462256,81.4151835456778,85.2730424418183
"1","ALSPAC0019",102.426392134515,103.068649009375,100.211852389945,100.533371078774,102.144708047094
"1","ALSPAC0020",97.6784388988923,106.437319880913,100.709056976028,98.9821539089187,98.295008481683
"1","ALSPAC0021",107.337413127206,107.788856697523,109.939061517706,106.51495336444,112.859378616897
"1","ALSPAC0022",99.7673615561363,97.579086889431,96.0178976253888,93.4393177871776,NA
"1","ALSPAC0023",100.924258972458,98.9737064497423,NA,95.9497953447122,94.6639789884413
"1","ALSPAC0024",107.473833898039,110.256172648855,115.441512152634,108.194224029146,108.935795156617
"3","ALSPAC0025",78.1093562878614,91.784833127782,92.2419857306267,93.0843391551674,83.7977439048768
"1","ALSPAC0026",103.205822531641,101.563589528875,100.565259730629,96.8013180605601,99.6140395859137
"3","ALSPAC0027",83.6866299411176,86.8228692461361,97.2788512571504,98.7843851281335,74.884461902912
"1","ALSPAC0028",115.372045246286,109.172608892096,110.556693092049,101.380043008294,110.400583218206
"1","ALSPAC0029",107.337244107853,115.46009136736,107.535344303691,103.739990964572,103.46115229168
"1","ALSPAC0030",101.831484011937,115.096839652216,112.143670841523,105.929618396468,103.820968903711
"1","ALSPAC0031",108.703562230324,109.766961715142,109.848597064202,103.986667023241,103.857743962284
"1","ALSPAC0032",105.900963125761,106.927061623422,105.067055177055,105.955718799367,102.832987325821
"1","ALSPAC0033",110.17515408546,106.899566387532,99.0349750988303,101.33996406905,109.218313243762
"1","ALSPAC0034",112.702302458736,107.222499579912,110.692283482641,113.565118514,111.042577820473
"1","ALSPAC0035",109.042868449812,108.070505987275,NA,108.489192561271,116.779738312569
"2","ALSPAC0036",72.989876545603,78.5681957313098,NA,81.0407139154513,65.8478198478003
"3","ALSPAC0037",89.7113857257945,97.7090906824874,82.1380539694209,84.6586210476877,87.9424539362427
"2","ALSPAC0038",78.728690099976,80.8831338396361,68.3378885678528,74.838049277411,73.5730281655902
"3","ALSPAC0039",91.734593702022,90.1763568998922,92.2960931386949,84.9715753736732,NA
"3","ALSPAC0040",97.9840517608648,91.7351691788438,86.0955944475378,89.8875269928809,92.8101074501243
"2","ALSPAC0041",97.2559135973466,100.12751059734,80.6555376580571,81.2713548455257,90.406668795071
"1","ALSPAC0042",111.182566520442,109.362923225888,105.933187700745,107.648870002185,107.473631624984
"2","ALSPAC0043",84.4585393144164,83.5460524518491,83.8501396366648,88.8807240708115,64.6142888276769
"1","ALSPAC0044",101.103838313078,111.405177499551,107.728218815783,112.662607824388,105.26258124123
